X,Day,event,Crop,Treatment,rep,Addition,N2ON_flux_ug_g_d,cum_N2O_flux_ug_g
1,0,1,Corn,0N,6,Control,-0.001515614,0
2,0,1,Corn,0N,6,Carbon,-0.001479434,0
3,0,1,Corn,0N,6,Nitrogen,0.069891269,0
4,0,1,Corn,112N,6,Control,-0.000730821,0
5,0,1,Corn,112N,6,Carbon,-0.001379085,0
6,0,1,Corn,112N,6,Nitrogen,0.015436123,0
7,0,1,Corn,0N,2,Control,-0.00115947,0
8,0,1,Corn,0N,2,Carbon,-0.001265845,0
9,0,1,Corn,0N,2,Nitrogen,0.011001898,0
10,0,1,Corn,112N,1,Control,-0.001124547,0
11,0,1,Corn,112N,1,Carbon,-0.00117715,0
12,0,1,Corn,112N,1,Nitrogen,0.006062402,0
13,0,1,Corn,336N,5,Control,0.038264201,0
14,0,1,Corn,336N,5,Carbon,0.919598245,0
15,0,1,Corn,336N,5,Nitrogen,0.020272091,0
16,0,1,Corn,336N,2,Control,0.000227144,0
17,0,1,Corn,336N,2,Carbon,0.203618803,0
18,0,1,Corn,336N,2,Nitrogen,0.000495749,0
19,0,1,Corn,112N,2,Control,0.009040737,0
20,0,1,Corn,112N,2,Carbon,0.010843945,0
21,0,1,Corn,112N,2,Nitrogen,0.016598919,0
22,0,1,Corn,336N,1,Control,-0.000628677,0
23,0,1,Corn,336N,1,Carbon,-0.000869782,0
24,0,1,Corn,336N,1,Nitrogen,0.058833882,0
25,0,1,Corn,336N,6,Control,-0.001686102,0
26,0,1,Corn,336N,6,Carbon,-0.001065955,0
27,0,1,Corn,336N,6,Nitrogen,0.046787533,0
28,0,1,Corn,0N,1,Control,0.000245999,0
29,0,1,Corn,0N,1,Carbon,-0.000404697,0
30,0,1,Corn,0N,1,Nitrogen,0.063006918,0
31,0,1,Corn,112N,5,Control,0.001737621,0
32,0,1,Corn,112N,5,Carbon,0.697465455,0
33,0,1,Corn,112N,5,Nitrogen,0.000162594,0
34,0,1,Corn,0N,5,Control,5.25e-05,0
35,0,1,Corn,0N,5,Carbon,-0.000248041,0
36,0,1,Corn,0N,5,Nitrogen,0.00207578,0
37,0,1,Miscanthus,336N,1,Control,-0.000666667,0
38,0,1,Miscanthus,336N,1,Carbon,0.003009388,0
39,0,1,Miscanthus,336N,1,Nitrogen,-0.001250573,0
40,0,1,Miscanthus,112N,6,Control,-0.001214074,0
41,0,1,Miscanthus,112N,6,Carbon,0.077978659,0
42,0,1,Miscanthus,112N,6,Nitrogen,-0.000568801,0
43,0,1,Miscanthus,336N,5,Control,0.063934565,0
44,0,1,Miscanthus,336N,5,Carbon,1.076725754,0
45,0,1,Miscanthus,336N,5,Nitrogen,0.109506244,0
46,0,1,Miscanthus,112N,5,Control,0.925961907,0
47,0,1,Miscanthus,112N,5,Carbon,0.262050445,0
48,0,1,Miscanthus,112N,5,Nitrogen,1.150790773,0
49,0,1,Miscanthus,0N,3,Control,-0.001251745,0
50,0,1,Miscanthus,0N,3,Carbon,-0.001465012,0
51,0,1,Miscanthus,0N,3,Nitrogen,0.005610499,0
52,0,1,Miscanthus,0N,5,Control,-0.001392504,0
53,0,1,Miscanthus,0N,5,Carbon,-0.001671534,0
54,0,1,Miscanthus,0N,5,Nitrogen,0.062174613,0
55,0,1,Miscanthus,336N,6,Control,-0.001507911,0
56,0,1,Miscanthus,336N,6,Carbon,0.014124058,0
57,0,1,Miscanthus,336N,6,Nitrogen,0.031505325,0
58,0,1,Miscanthus,112N,3,Control,-0.001531725,0
59,0,1,Miscanthus,112N,3,Carbon,0.005144566,0
60,0,1,Miscanthus,112N,3,Nitrogen,-0.000384465,0
61,0,1,Miscanthus,0N,6,Control,-0.001584679,0
62,0,1,Miscanthus,0N,6,Carbon,-0.001562151,0
63,0,1,Miscanthus,0N,6,Nitrogen,0.011292731,0
64,0,1,Miscanthus,336N,3,Control,-0.000941975,0
65,0,1,Miscanthus,336N,3,Carbon,-0.015853718,0
66,0,1,Miscanthus,336N,3,Nitrogen,-0.001940609,0
67,0,1,Miscanthus,0N,1,Control,-0.000170681,0
68,0,1,Miscanthus,0N,1,Carbon,-0.001485874,0
69,0,1,Miscanthus,0N,1,Nitrogen,-0.001906427,0
70,0,1,Miscanthus,112N,1,Control,0.005328312,0
71,0,1,Miscanthus,112N,1,Carbon,-0.002160433,0
72,0,1,Miscanthus,112N,1,Nitrogen,-0.001573454,0
73,4,2,Corn,0N,6,Control,-0.127667714,-0.258366658
74,4,2,Corn,0N,6,Carbon,-0.952028954,-1.907016777
75,4,2,Corn,0N,6,Nitrogen,0.004167989,0.148118516
76,4,2,Corn,112N,6,Control,0.00041852,-0.000624601
77,4,2,Corn,112N,6,Carbon,-1.35e-05,-0.00278518
78,4,2,Corn,112N,6,Nitrogen,0.000321874,0.031515992
79,4,2,Corn,0N,2,Control,0.000185599,-0.001947742
80,4,2,Corn,0N,2,Carbon,-2.02e-05,-0.002572166
81,4,2,Corn,0N,2,Nitrogen,0.000201136,0.022406068
82,4,2,Corn,112N,1,Control,0.000144862,-0.00195937
83,4,2,Corn,112N,1,Carbon,2e-05,-0.002314368
84,4,2,Corn,112N,1,Nitrogen,-0.000831028,0.01046275
85,4,2,Corn,336N,5,Control,0.031779454,0.14008731
86,4,2,Corn,336N,5,Carbon,0.025808371,1.890813232
87,4,2,Corn,336N,5,Nitrogen,0.022615952,0.085776086
88,4,2,Corn,336N,2,Control,-0.001692864,-0.00293144
89,4,2,Corn,336N,2,Carbon,0.004520107,0.41627782
90,4,2,Corn,336N,2,Nitrogen,-0.00154147,-0.002091443
91,4,2,Corn,112N,2,Control,0.003912494,0.025906461
92,4,2,Corn,112N,2,Carbon,-0.001632389,0.018423111
93,4,2,Corn,112N,2,Nitrogen,0.109259125,0.251716087
94,4,2,Corn,336N,1,Control,-0.001782243,-0.004821841
95,4,2,Corn,336N,1,Carbon,-0.001314851,-0.004369266
96,4,2,Corn,336N,1,Nitrogen,0.000254633,0.11817703
97,4,2,Corn,336N,6,Control,-0.002403706,-0.008179615
98,4,2,Corn,336N,6,Carbon,-0.002282269,-0.006696448
99,4,2,Corn,336N,6,Nitrogen,-0.001947315,0.089680436
100,4,2,Corn,0N,1,Control,-0.002296137,-0.004100275
101,4,2,Corn,0N,1,Carbon,-0.002702938,-0.006215269
102,4,2,Corn,0N,1,Nitrogen,-0.001978732,0.122056372
103,4,2,Corn,112N,5,Control,-0.002144462,-0.000813682
104,4,2,Corn,112N,5,Carbon,0.015543159,1.426017229
105,4,2,Corn,112N,5,Nitrogen,8.74e-05,0.000500082
106,4,2,Corn,0N,5,Control,-0.0025813,-0.005057516
107,4,2,Corn,0N,5,Carbon,-0.002796801,-0.006089682
108,4,2,Corn,0N,5,Nitrogen,-0.002803514,-0.001455467
109,4,2,Miscanthus,336N,1,Control,0.000628167,-7.7e-05
110,4,2,Miscanthus,336N,1,Carbon,0.001454074,0.008926925
111,4,2,Miscanthus,336N,1,Nitrogen,0.000370177,-0.001760792
112,4,2,Miscanthus,112N,6,Control,-0.002859275,-0.008146698
113,4,2,Miscanthus,112N,6,Carbon,-0.003102082,0.149753154
114,4,2,Miscanthus,112N,6,Nitrogen,-0.00295061,-0.007038821
115,4,2,Miscanthus,336N,5,Control,0.125792147,0.379453425
116,4,2,Miscanthus,336N,5,Carbon,0.216274246,2.586000001
117,4,2,Miscanthus,336N,5,Nitrogen,0.555165764,1.329344016
118,4,2,Miscanthus,112N,5,Control,1.114052656,4.080029127
119,4,2,Miscanthus,112N,5,Carbon,0.007801612,0.539704114
120,4,2,Miscanthus,112N,5,Nitrogen,1.226480313,4.754542171
121,4,2,Miscanthus,0N,3,Control,0.000620386,-0.001262718
122,4,2,Miscanthus,0N,3,Carbon,-0.003126049,-0.009182122
123,4,2,Miscanthus,0N,3,Nitrogen,0.000224683,0.011670366
124,4,2,Miscanthus,0N,5,Control,-0.000733897,-0.004252803
125,4,2,Miscanthus,0N,5,Carbon,-0.003079686,-0.009502441
126,4,2,Miscanthus,0N,5,Nitrogen,0.021110673,0.166570572
127,4,2,Miscanthus,336N,6,Control,-0.001195841,-0.005407502
128,4,2,Miscanthus,336N,6,Carbon,-0.001014137,0.026219842
129,4,2,Miscanthus,336N,6,Nitrogen,0.003001951,0.069014551
130,4,2,Miscanthus,112N,3,Control,-0.001275367,-0.005614184
131,4,2,Miscanthus,112N,3,Carbon,-0.001163525,0.007962082
132,4,2,Miscanthus,112N,3,Nitrogen,-0.001063269,-0.002895469
133,4,2,Miscanthus,0N,6,Control,-0.000700954,-0.004571265
134,4,2,Miscanthus,0N,6,Carbon,0.001335001,-0.0004543
135,4,2,Miscanthus,0N,6,Nitrogen,0.001618993,0.025823449
136,4,2,Miscanthus,336N,3,Control,0.032007493,0.062131036
137,4,2,Miscanthus,336N,3,Carbon,0.044307329,0.056907221
138,4,2,Miscanthus,336N,3,Nitrogen,0.005616962,0.007352708
139,4,2,Miscanthus,0N,1,Control,0.001947748,0.003554135
140,4,2,Miscanthus,0N,1,Carbon,0.001513483,5.52e-05
141,4,2,Miscanthus,0N,1,Nitrogen,0.002135004,0.000457154
142,4,2,Miscanthus,112N,1,Control,0.002087685,0.014831992
143,4,2,Miscanthus,112N,1,Carbon,0.002829211,0.001337556
144,4,2,Miscanthus,112N,1,Nitrogen,0.003424105,0.003701302
145,15,3,Corn,0N,6,Control,-0.000319132,-0.962294315
146,15,3,Corn,0N,6,Carbon,-6.41e-05,-7.143528475
147,15,3,Corn,0N,6,Nitrogen,3.09e-05,0.171212339
148,15,3,Corn,112N,6,Control,0.000179746,0.002665863
149,15,3,Corn,112N,6,Carbon,-0.000195666,-0.003935622
150,15,3,Corn,112N,6,Nitrogen,-6.66e-05,0.032920074
151,15,3,Corn,0N,2,Control,-0.000137288,-0.001682036
152,15,3,Corn,0N,2,Carbon,-2.52e-05,-0.002822247
153,15,3,Corn,0N,2,Nitrogen,0.040616971,0.246905658
154,15,3,Corn,112N,1,Control,0.000755329,0.002991682
155,15,3,Corn,112N,1,Carbon,0.000462458,0.000338964
156,15,3,Corn,112N,1,Nitrogen,-5.65e-05,0.005581207
157,15,3,Corn,336N,5,Control,0.025770745,0.456613403
158,15,3,Corn,336N,5,Carbon,0.002552739,2.046799338
159,15,3,Corn,336N,5,Nitrogen,0.005570462,0.240801366
160,15,3,Corn,336N,2,Control,0.000468482,-0.009665542
161,15,3,Corn,336N,2,Carbon,0.000257141,0.442552682
162,15,3,Corn,336N,2,Nitrogen,0.00054622,-0.007565319
163,15,3,Corn,112N,2,Control,0.185338454,1.066786673
164,15,3,Corn,112N,2,Carbon,0.002687062,0.024223816
165,15,3,Corn,112N,2,Nitrogen,0.288016237,2.436730576
166,15,3,Corn,336N,1,Control,0.004216842,0.008568453
167,15,3,Corn,336N,1,Carbon,0.0041522,0.01123615
168,15,3,Corn,336N,1,Nitrogen,0.004004637,0.141603018
169,15,3,Corn,336N,6,Control,0.004103189,0.001167543
170,15,3,Corn,336N,6,Carbon,0.003943962,0.002442863
171,15,3,Corn,336N,6,Nitrogen,0.002379895,0.092059628
172,15,3,Corn,0N,1,Control,0.002462998,-0.003182536
173,15,3,Corn,0N,1,Carbon,-0.000173732,-0.022036955
174,15,3,Corn,0N,1,Nitrogen,-0.000592407,0.107915107
175,15,3,Corn,112N,5,Control,0.010845359,0.047041255
176,15,3,Corn,112N,5,Carbon,0.009810885,1.565464473
177,15,3,Corn,112N,5,Nitrogen,-0.000622878,-0.002444788
178,15,3,Corn,0N,5,Control,-0.002127646,-0.030956721
179,15,3,Corn,0N,5,Carbon,-0.002201334,-0.033579425
180,15,3,Corn,0N,5,Nitrogen,-0.002252937,-0.029265945
181,15,3,Miscanthus,336N,1,Control,-0.002361519,-0.009610432
182,15,3,Miscanthus,336N,1,Carbon,-0.00246661,0.003357979
183,15,3,Miscanthus,336N,1,Nitrogen,-0.002434358,-0.013113788
184,15,3,Miscanthus,112N,6,Control,-0.00194037,-0.034544743
185,15,3,Miscanthus,112N,6,Carbon,0.00315023,0.150017968
186,15,3,Miscanthus,112N,6,Nitrogen,-0.002055857,-0.034574393
187,15,3,Miscanthus,336N,5,Control,0.086339604,1.546178059
188,15,3,Miscanthus,336N,5,Carbon,0.867429068,8.546368229
189,15,3,Miscanthus,336N,5,Nitrogen,0.859196985,9.108339136
190,15,3,Miscanthus,112N,5,Control,0.658194003,13.82738575
191,15,3,Miscanthus,112N,5,Carbon,0.006380487,0.617705658
192,15,3,Miscanthus,112N,5,Nitrogen,0.979933086,16.88981587
193,15,3,Miscanthus,0N,3,Control,0.008161359,0.047036881
194,15,3,Miscanthus,0N,3,Carbon,0.010037107,0.028828698
195,15,3,Miscanthus,0N,3,Nitrogen,-0.00223391,0.000619618
196,15,3,Miscanthus,0N,5,Control,0.006755895,0.028868185
197,15,3,Miscanthus,0N,5,Carbon,-0.002155695,-0.038297035
198,15,3,Miscanthus,0N,5,Nitrogen,0.109072493,0.882577984
199,15,3,Miscanthus,336N,6,Control,-0.00261086,-0.026344357
200,15,3,Miscanthus,336N,6,Carbon,-0.002966754,0.004324943
201,15,3,Miscanthus,336N,6,Nitrogen,0.006194309,0.11959398
202,15,3,Miscanthus,112N,3,Control,-0.002635611,-0.027124564
203,15,3,Miscanthus,112N,3,Carbon,-0.002547879,-0.012450639
204,15,3,Miscanthus,112N,3,Nitrogen,-0.003086267,-0.025717921
205,15,3,Miscanthus,0N,6,Control,-0.003114369,-0.025555537
206,15,3,Miscanthus,0N,6,Carbon,-0.003304705,-0.011287671
207,15,3,Miscanthus,0N,6,Nitrogen,-0.003224485,0.016993244
208,15,3,Miscanthus,336N,3,Control,-0.009804099,0.184249706
209,15,3,Miscanthus,336N,3,Carbon,0.039883551,0.519957063
210,15,3,Miscanthus,336N,3,Nitrogen,0.004987609,0.065677852
211,15,3,Miscanthus,0N,1,Control,-0.002815249,-0.001217116
212,15,3,Miscanthus,0N,1,Carbon,-0.00306302,-0.008467238
213,15,3,Miscanthus,0N,1,Nitrogen,-0.003015872,-0.004387618
214,15,3,Miscanthus,112N,1,Control,-0.000805098,0.021886218
215,15,3,Miscanthus,112N,1,Carbon,-0.000810566,0.012440104
216,15,3,Miscanthus,112N,1,Nitrogen,-0.000805094,0.018105862
217,30,4,Corn,0N,6,Control,0.002273272,-0.947638265
218,30,4,Corn,0N,6,Carbon,0.002902493,-7.122240389
219,30,4,Corn,0N,6,Nitrogen,0.002298169,0.188680266
220,30,4,Corn,112N,6,Control,0.002646839,0.023865249
221,30,4,Corn,112N,6,Carbon,0.000570886,-0.001121469
222,30,4,Corn,112N,6,Nitrogen,0.000156669,0.033595697
223,30,4,Corn,0N,2,Control,0.00044998,0.000663152
224,30,4,Corn,0N,2,Carbon,0.002144379,0.013071357
225,30,4,Corn,0N,2,Nitrogen,0.01856068,0.690738038
226,30,4,Corn,112N,1,Control,0.001401096,0.019164869
227,30,4,Corn,112N,1,Carbon,0.002908939,0.025624441
228,30,4,Corn,112N,1,Nitrogen,0.000736808,0.010683326
229,30,4,Corn,336N,5,Control,0.051673717,1.03744687
230,30,4,Corn,336N,5,Carbon,0.003182505,2.089813669
231,30,4,Corn,336N,5,Nitrogen,0.002394154,0.300535989
232,30,4,Corn,336N,2,Control,0.00080432,-0.000119531
233,30,4,Corn,336N,2,Carbon,0.00061693,0.449108215
234,30,4,Corn,336N,2,Nitrogen,0.000500073,0.000281877
235,30,4,Corn,112N,2,Control,0.018455337,2.595240103
236,30,4,Corn,112N,2,Carbon,0.00125225,0.053768662
237,30,4,Corn,112N,2,Nitrogen,0.080468368,5.200365114
238,30,4,Corn,336N,1,Control,0.002338717,0.057735149
239,30,4,Corn,336N,1,Carbon,0.000693613,0.047579744
240,30,4,Corn,336N,1,Nitrogen,0.000441387,0.174948198
241,30,4,Corn,336N,6,Control,0.00037363,0.034743685
242,30,4,Corn,336N,6,Carbon,0.001266667,0.041522577
243,30,4,Corn,336N,6,Nitrogen,0.004294142,0.142114906
244,30,4,Corn,0N,1,Control,0.000757385,0.020970337
245,30,4,Corn,0N,1,Carbon,0.003011828,-0.000751236
246,30,4,Corn,0N,1,Nitrogen,0.001450428,0.114350263
247,30,4,Corn,112N,5,Control,0.000958858,0.135572884
248,30,4,Corn,112N,5,Carbon,-0.011287007,1.554393562
249,30,4,Corn,112N,5,Nitrogen,0.001824556,0.0065678
250,30,4,Corn,0N,5,Control,0.001503888,-0.035634902
251,30,4,Corn,0N,5,Carbon,0.000944067,-0.043008927
252,30,4,Corn,0N,5,Nitrogen,0.001311468,-0.036326961
253,30,4,Miscanthus,336N,1,Control,0.000603259,-0.022797381
254,30,4,Miscanthus,336N,1,Carbon,0.000152706,-0.0139963
255,30,4,Miscanthus,336N,1,Nitrogen,0.001243812,-0.022042887
256,30,4,Miscanthus,112N,6,Control,0.00133224,-0.039105717
257,30,4,Miscanthus,112N,6,Carbon,0.001282435,0.183262957
258,30,4,Miscanthus,112N,6,Nitrogen,0.001221146,-0.040834732
259,30,4,Miscanthus,336N,5,Control,0.112966122,3.040971005
260,30,4,Miscanthus,336N,5,Carbon,0.575877202,19.37116526
261,30,4,Miscanthus,336N,5,Nitrogen,0.584730404,19.93779456
262,30,4,Miscanthus,112N,5,Control,0.283006976,20.88639309
263,30,4,Miscanthus,112N,5,Carbon,0.011142413,0.749127407
264,30,4,Miscanthus,112N,5,Nitrogen,0.632834816,28.98557513
265,30,4,Miscanthus,0N,3,Control,0.034970807,0.37052813
266,30,4,Miscanthus,0N,3,Carbon,0.004136024,0.135127176
267,30,4,Miscanthus,0N,3,Nitrogen,0.001691981,-0.003444852
268,30,4,Miscanthus,0N,5,Control,0.002028759,0.094753085
269,30,4,Miscanthus,0N,5,Carbon,0.001839828,-0.040666037
270,30,4,Miscanthus,0N,5,Nitrogen,0.231705802,3.438415193
271,30,4,Miscanthus,336N,6,Control,0.008146679,0.01517428
272,30,4,Miscanthus,336N,6,Carbon,0.001978313,-0.003088367
273,30,4,Miscanthus,336N,6,Nitrogen,0.002211144,0.182634874
274,30,4,Miscanthus,112N,3,Control,0.001898172,-0.032655359
275,30,4,Miscanthus,112N,3,Carbon,0.00209206,-0.015869284
276,30,4,Miscanthus,112N,3,Nitrogen,0.001403016,-0.039183929
277,30,4,Miscanthus,0N,6,Control,0.00088266,-0.043409205
278,30,4,Miscanthus,0N,6,Carbon,0.001838283,-0.023019052
279,30,4,Miscanthus,0N,6,Nitrogen,0.001825874,0.005804355
280,30,4,Miscanthus,336N,3,Control,0.054880042,0.544857251
281,30,4,Miscanthus,336N,3,Carbon,0.081306523,1.489477656
282,30,4,Miscanthus,336N,3,Nitrogen,0.004253433,0.139606193
283,30,4,Miscanthus,0N,1,Control,0.001465904,-0.012011877
284,30,4,Miscanthus,0N,1,Carbon,0.001911484,-0.017679529
285,30,4,Miscanthus,0N,1,Nitrogen,0.00195128,-0.012904354
286,30,4,Miscanthus,112N,1,Control,0.00087753,0.022465676
287,30,4,Miscanthus,112N,1,Carbon,0.00214469,0.023113098
288,30,4,Miscanthus,112N,1,Nitrogen,0.001943417,0.027212447
289,59,6,Corn,0N,6,Control,0.000283946,-0.910558594
290,59,6,Corn,0N,6,Carbon,0.000582297,-7.071710931
291,59,6,Corn,0N,6,Nitrogen,0.00063768,0.231250082
292,59,6,Corn,112N,6,Control,0.00047302,0.069103206
293,59,6,Corn,112N,6,Carbon,0.0006821,0.017046831
294,59,6,Corn,112N,6,Nitrogen,0.000411897,0.041839899
295,59,6,Corn,0N,2,Control,0.001922136,0.035058839
296,59,6,Corn,0N,2,Carbon,0.002640911,0.082458067
297,59,6,Corn,0N,2,Nitrogen,0.085090821,2.193684796
