Order,Sample.Name,NH4N.mgl,NO3N.mgl,Crop,Treatment,Addition,Day,F1R2_log,F1R2_ave,log_012,ave_012,log_025,ave_025,log_039,ave_039,log_sum,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039,ave_sum,norB.001,norB.006,cnorB,norb_sum,log_norB.001,log_norB.006,log_cnorB,log_norb_sum
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,7.035100979,10800000,9.131285965,1.35e+09,7.836950955,68700000,8.501381785,3.17e+08,9.24027404,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,1735700000,1.63e+09,2.69e+09,1.22e+09,4.32e+09,21.2118458517651,21.7128070305602,20.9221166956916,22.1865212392024
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,6.992009383,9820000,9.209540434,1.62e+09,7.792192016,6.2e+07,8.601715664,4e+08,9.31842843,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,2.082e+09,1.72e+09,2.71e+09,1.3e+09,4.43e+09,21.2655901277718,21.720214471838,20.9856301014139,22.2116654210035
3,3b,1.290025726,4.072913701,Corn,0N,Nitrogen,5,5.092958633,124000,7.189938666,15500000,6.042093176,1100000,6.628291256,4250000,7.318831001,20800000,0,0,0,85543364.18,0,0,0,20850000,60100000,97200000,55500000,157300000,17.9115203995054,18.3922812694307,17.8318935787167,18.8736653680285
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,6.809178219,6440000,8.513104154,3.26e+08,7.740506774,5.5e+07,8.022075389,1.05e+08,8.686768105,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,4.86e+08,4.51e+08,1.23e+09,4.11e+08,1.681e+09,19.926977897467,20.9302800063307,19.8341037724605,21.2426546913729
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,7.212897105,16300000,9.11768133,1.31e+09,8.079405818,1.2e+08,8.53662941,3.44e+08,9.249285376,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,1.774e+09,1.45e+09,2.27e+09,1.13e+09,3.72e+09,21.0948293933789,21.5430456684397,20.8454834696707,22.0369895052315
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,7.323188318,2.1e+07,9.198200385,1.58e+09,8.110460869,1.29e+08,8.604798691,4.03e+08,9.324247771,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,2.112e+09,1.75e+09,2.46e+09,1.52e+09,4.21e+09,21.2828816248818,21.6234271868907,21.1419761718046,22.1607284846407
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,6.55542645,3590000,9.059855864,1.15e+09,7.510108875,32400000,8.480072528,3.02e+08,9.170902625,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,1484400000,1.39e+09,1.42e+09,1.06e+09,2.81e+09,21.052569584089,21.0739227085596,20.7815347450704,21.7564503202921
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,6.703380767,5050000,9.095676427,1.25e+09,7.682336561,48100000,8.546699954,3.52e+08,9.216615333,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,1650100000,1.58e+09,2.01e+09,1.13e+09,3.59e+09,21.1806906839853,21.4214005590174,20.8454834696707,22.0014180394466
9,9b,0.667254686,3.676323959,Corn,0N,Nitrogen,5,6.980621687,9560000,9.380460191,2.4e+09,7.974519254,94300000,8.837528971,6.88e+08,9.502916256,3.18e+09,0,0,7087155.43,3740663530,6876092.241,9489222.476,11152043.85,3182300000,2.37e+09,3.3e+09,1.71e+09,5.67e+09,21.5861557920935,21.9171883054188,21.259759207461,22.4584549546861
10,10b,0.589408306,0.566556775,Corn,112N,Control,5,7.129821434,13500000,9.227357268,1.69e+09,7.974107626,94200000,8.777986348,6e+08,9.376928183,2.38e+09,0,21634976.97,25466701.84,3258254468,7816256.489,0,12182733.35,2384200000,2.12e+09,3.82e+09,1.75e+09,5.94e+09,21.4746819256303,22.0635162595649,21.2828816248818,22.504974970321
11,11b,0.656133774,0.151081807,Corn,112N,Carbon,5,7.08737806,12200000,9.179411978,1.51e+09,7.930427394,85200000,8.754642071,5.68e+08,9.335477001,2.17e+09,11470936.16,44244948.95,11112185.58,3524405538,6382269.619,19980912,14007340.31,2163200000,1.96e+09,3.71e+09,1.62e+09,5.67e+09,21.3962103101888,22.0342977135658,21.2056919861907,22.4584549546861
12,12b,0.93415656,3.764455013,Corn,112N,Nitrogen,5,7.062687508,11600000,9.12855671,1.34e+09,7.938071658,86700000,8.68632003,4.86e+08,9.282586781,1.92e+09,10803210.88,0,10308275.58,3153186739,10096017.32,0,9009412.433,1912700000,1.82e+09,3.3e+09,1.49e+09,5.12e+09,21.3221023380351,21.9171883054188,21.1220419569038,22.3564202759978
13,13b,0.811826534,15.68732758,Corn,336N,Control,5,6.895110134,7850000,8.671411402,4.69e+08,8.099117505,1.26e+08,8.538325218,3.45e+08,8.973265038,9.4e+08,28582873.72,23194998.87,13001410.11,2445234938,0,10674909.38,0,9.4e+08,1.11e+09,1.05e+09,9.68e+08,2.16e+09,20.8276258522707,20.7720560011158,20.6907426452408,21.4933740586425
14,14b,0.811826534,13.70437887,Corn,336N,Carbon,5,6.988617272,9740000,8.799538787,6.3e+08,8.150464062,1.41e+08,8.542865416,3.49e+08,9.049498882,1.12e+09,18236565.54,27446784.18,27485976.1,2101276573,11163330.28,12069649.69,7897965.012,1.12e+09,1.01e+09,8.96e+08,9.51e+08,1.906e+09,20.7332161677996,20.6134509709392,20.6730246205097,21.3682726421784
15,15b,1.078728409,18.10463648,Corn,336N,Nitrogen,5,6.871112724,7430000,8.74691829,5.58e+08,7.992054716,98200000,8.476731175,3e+08,8.980586417,9.56e+08,0,39610870.73,11509589.64,1718993754,6539455.062,24454633.57,10920235.89,956200000,9.97e+08,8.31e+08,8.01e+08,1.828e+09,20.7202613279261,20.5381403528197,20.5013715050326,21.3264883099784
16,16b,0.556045571,6.414681703,Corn,336N,Control,5,7.373228865,23600000,8.991494553,9.81e+08,8.401872366,2.52e+08,8.724238603,5.3e+08,9.246211533,1.76e+09,11387618.31,50272198.89,20727761.16,2732749052,9500619.315,37720519.36,18617284.38,1.763e+09,1.74e+09,1.94e+09,1.24e+09,3.68e+09,21.2771509501728,21.3859538100216,20.9383772165634,22.0261785891273
17,17b,0.222418229,3.934422045,Corn,336N,Carbon,5,7.213805353,16400000,8.991559824,9.81e+08,8.230774099,1.7e+08,8.769686393,5.88e+08,9.240374332,1.74e+09,23846276.5,35760020.59,33215482.31,3990368403,0,16304720.76,23562486.69,1.739e+09,1.67e+09,2.18e+09,1.32e+09,3.85e+09,21.2360894633751,21.5025907137474,21.0008975735447,22.0713389852461
18,18b,1.1676957,7.396713445,Corn,336N,Nitrogen,5,7.069709019,11700000,8.646012778,4.43e+08,7.987388875,97100000,8.415651557,2.6e+08,8.903169061,8e+08,13531785.7,0,6801705.322,1031711883,0,11288791.01,0,800100000,1.02e+09,1e+09,7.06e+08,2.02e+09,20.7430684642426,20.7232658369464,20.3751257954575,21.4263633483595
19,19b,0.556045571,1.240129829,Corn,112N,Control,5,6.927614027,8460000,8.761390131,5.77e+08,8.029912955,1.07e+08,8.496147195,3.13e+08,8.999065285,9.98e+08,12438652.23,29683026.19,22702426.08,1866869769,0,11843271.69,8490744.517,9.97e+08,1.23e+09,1.55e+09,9.5e+08,2.78e+09,20.9302800063307,21.1615207678776,20.6719725425589,21.745716764649
20,20b,0.54492466,0.201442409,Corn,112N,Carbon,5,6.918303717,8290000,8.763672672,5.8e+08,8.044440591,1.11e+08,8.48575217,3.06e+08,8.998748832,9.97e+08,0,27536063.33,14075997.16,1216560504,5323639.656,0,12540605.02,9.97e+08,1.28e+09,1.53e+09,9.48e+08,2.81e+09,20.9701259148779,21.1485335723508,20.6698650602193,21.7564503202921
21,21b,0.733980154,4.507273895,Corn,112N,Nitrogen,5,6.931310298,8540000,8.786314634,6.11e+08,7.997452479,99400000,8.555996307,3.6e+08,9.029605414,1.07e+09,11198079.21,30762935.32,8121894.033,1090003945,5236927.133,0,0,1070400000,1.33e+09,1.49e+09,9.75e+08,2.82e+09,21.0084447791801,21.1220419569038,20.6979480289621,21.7600027218964
22,22b,0.511561926,0.963146517,Corn,336N,Control,5,7.380358585,2.4e+07,8.814247191,6.52e+08,8.182950083,1.52e+08,8.565588372,3.68e+08,9.068989629,1.17e+09,12070563.09,35164397.73,15410064.74,1473497558,9472221.811,0,23115108.64,1.172e+09,1.45e+09,1.79e+09,1.01e+09,3.24e+09,21.0948293933789,21.3054814567991,20.7332161677996,21.8988391667506
23,23b,0.511561926,0.157376882,Corn,336N,Carbon,5,5.372342007,236000,6.662174827,4590000,6.262699121,1830000,6.445393689,2790000,6.964425696,9210000,0,0,0,53737941.66,0,0,0,9210000,51200000,78600000,48500000,129800000,17.7512500900097,18.1798822573994,17.6970743559077,18.6815053622343
24,24b,0.300264609,4.387667465,Corn,336N,Nitrogen,5,7.57307426,37400000,8.845968448,7.01e+08,8.419896603,2.63e+08,8.582789464,3.83e+08,9.129370087,1.35e+09,19500496.12,59101807.27,19737298.92,1166083845,0,14281955.6,15754234.87,1.347e+09,1.55e+09,1.97e+09,1.15e+09,3.52e+09,21.1615207678776,21.4012993796963,20.8630277793216,21.9817268265564
25,25b,0.11005504,0.655923725,Corn,336N,Control,5,7.57934986,3.8e+07,8.907910428,8.09e+08,8.429876703,2.69e+08,8.667617524,4.65e+08,9.18841725,1.54e+09,51700000,78900000,45100000,1738537591,11610936.85,13123781.27,28833852.58,1.543e+09,1.73e+09,1.99e+09,1.45e+09,3.72e+09,21.2713872454561,21.4114004756828,21.0948293933789,22.0369895052315
26,26b,0.132066048,-0.021505696,Corn,336N,Carbon,5,7.430805589,2.7e+07,8.846773768,7.03e+08,8.284688692,1.93e+08,8.551145416,3.56e+08,9.097281944,1.25e+09,17300000,39700000,53500000,1596312576,5626941.57,13972098.15,17532504.16,1.252e+09,1.51e+09,1.93e+09,1.28e+09,3.44e+09,21.1353754877732,21.3807858398632,20.9701259148779,21.9587373083317
27,27b,0.124729045,4.231245666,Corn,336N,Nitrogen,5,7.463564965,29100000,8.836401651,6.86e+08,8.318361166,2.08e+08,8.545267275,3.51e+08,9.095250613,1.25e+09,14100000,36600000,0,1317352830,6999356.987,15834019.26,24256278.5,1.245e+09,1.6e+09,1.71e+09,1.32e+09,3.31e+09,21.1932694661921,21.259759207461,21.0008975735447,21.9202140263354
28,28b,0.146740053,0.247315503,Corn,0N,Control,5,6.777735606,5990000,8.893446032,7.82e+08,7.385864705,24300000,8.590286538,3.89e+08,9.077748372,1.2e+09,0,0,23900000,1749556209,0,0,13927398.58,1195300000,1.89e+09,1.86e+09,1.55e+09,3.75e+09,21.359842666018,21.3438423246715,21.1615207678776,22.0450216769287
29,29b,0.11005504,-0.107528479,Corn,0N,Carbon,5,6.787356484,6130000,8.927795013,8.47e+08,7.31239927,20500000,8.654606215,4.51e+08,9.120180429,1.32e+09,0,0,0,1593380990,0,0,8047033.286,1318500000,1.79e+09,1.83e+09,1.57e+09,3.62e+09,21.3054814567991,21.3275818037997,21.1743414563066,22.0097398627841
30,30b,0.146740053,4.440926201,Corn,0N,Nitrogen,5,6.832680341,6800000,8.815980294,6.55e+08,7.441738211,27700000,8.608332038,4.06e+08,9.036659988,1.09e+09,0,0,19100000,1671353617,0,0,0,1088700000,1.73e+09,1.93e+09,1.58e+09,3.66e+09,21.2713872454561,21.3807858398632,21.1806906839853,22.0207289843597
31,31b,0.080707029,4.360279842,Corn,112N,Control,5,6.910128996,8130000,8.784117228,6.08e+08,8.082310324,1.21e+08,8.522123025,3.33e+08,9.026092084,1.06e+09,18600000,0,13600000,1464505436,0,15666174.41,10455822.84,1.062e+09,1.41e+09,1.33e+09,1.31e+09,2.74e+09,21.0668555413365,21.0084447791801,20.9932929741595,21.7312237573464
32,32b,0.036685013,3.161337296,Corn,112N,Carbon,5,7.01165805,10300000,8.821909418,6.64e+08,8.159402415,1.44e+08,8.562134822,3.65e+08,9.069230277,1.17e+09,27400000,32600000,0,1968894941,6272192.318,19481338.03,7858361.706,1.173e+09,1.37e+09,1.76e+09,1.27e+09,3.13e+09,21.0380765767864,21.2885796459965,20.9622827374169,21.8642988414985
33,33b,0.058696021,9.145297177,Corn,112N,Nitrogen,5,6.959897123,9120000,8.74926638,5.61e+08,8.131829471,1.35e+08,8.527152994,3.37e+08,9.014305474,1.03e+09,0,31100000,18300000,1695285560,7220016.142,25393200.03,10399290.89,1.033e+09,1.22e+09,1.51e+09,1.18e+09,2.73e+09,20.9221166956916,21.1353754877732,20.888780275424,21.7275674461433
34,34b,0.146740053,0.500007429,Corn,0N,Control,5,6.956023416,9040000,9.119563018,1.32e+09,7.707834932,5.1e+07,8.847119093,7.03e+08,9.316227748,2.07e+09,0,0,2.5e+07,3112699877,0,0,6196698.657,2.074e+09,2.34e+09,3.39e+09,2.16e+09,5.73e+09,21.573416766316,21.9440957583388,21.4933740586425,22.4689813676731
35,35b,0.161414058,0.043011392,Corn,0N,Carbon,5,6.919831528,8310000,9.216607212,1.65e+09,7.663665476,46100000,8.835943579,6.85e+08,9.376242501,2.38e+09,0,20900000,17400000,3231340319,0,0,0,2381100000,2.33e+09,3.5e+09,2.24e+09,5.83e+09,21.569134104524,21.9760288054418,21.5297417028134,22.4862828373088
36,36b,0.13940305,4.779640911,Corn,0N,Nitrogen,5,7.093571331,12400000,9.282052835,1.91e+09,7.831569771,67900000,8.827202339,6.72e+08,9.423914612,2.65e+09,17300000,15700000,15300000,2743682931,0,0,0,2649900000,2.73e+09,3.39e+09,2.16e+09,6.12e+09,21.7275674461433,21.9440957583388,21.4933740586425,22.5348279334706
37,1d,0.20106869,2.384681807,Corn,0N,Control,32,7.128771984,13500000,8.985729459,9.68e+08,7.497587358,31400000,8.823778755,6.66e+08,9.221568003,1.67e+09,0,11613009.76,50330367.62,6991326499,0,0,60996073.08,1665400000,1.63e+09,7.12e+09,1.29e+09,8.75e+09,21.2118458517651,22.6861735623703,20.97790805532,22.8923195373159
38,2d,0.125667931,2.635229989,Corn,0N,Carbon,32,7.237106587,17300000,9.076748803,1.19e+09,7.673957792,47200000,8.884253429,7.66e+08,9.302448451,2.01e+09,0,11221876.81,33167338.56,8588055737,14340723.45,36076679.87,60628933.19,2003200000,1.63e+09,8.87e+09,1.57e+09,1.05e+10,21.2118458517651,22.9059406332679,21.1743414563066,23.0746410941099
39,3d,0.175935103,7.391171379,Corn,0N,Nitrogen,32,7.185837319,15300000,9.040963644,1.1e+09,7.62136103,41800000,8.873414769,7.47e+08,9.275977518,1.89e+09,7234470.599,0,15114518.32,7899293472,0,20337540.17,44594330.22,1888800000,1.62e+09,7.72e+09,1.43e+09,9.34e+09,21.2056919861907,22.7670802009831,21.0809402812182,22.9575720891872
40,4d,0.343492345,1.471970571,Corn,112N,Control,32,7.345107227,22100000,9.001289504,1e+09,7.841076784,69400000,8.845771229,7.01e+08,9.248810216,1.77e+09,12500344.53,0,45914066.27,6835316707,0,13227536.32,65753062.89,1770400000,1.61e+09,7.15e+09,1.38e+09,8.76e+09,21.1995000159428,22.6903781936523,21.0453493361155,22.8934617418947
41,5d,0.184312965,0.78296307,Corn,112N,Carbon,32,7.27240003,18700000,8.980407003,9.56e+08,7.779717348,60200000,8.855974905,7.18e+08,9.239013416,1.73e+09,0,13110776.41,28600134.61,7567678092,14115447.06,17472516.54,68099062.65,1734200000,1.43e+09,7.35e+09,1.3e+09,8.78e+09,21.0809402812182,22.7179661501712,20.9856301014139,22.8957422445934
42,6d,0.167557241,3.847704229,Corn,112N,Nitrogen,32,7.273012214,18800000,8.934458429,8.6e+08,7.746007382,55700000,8.815247369,6.54e+08,9.195662509,1.57e+09,14410807.24,0,37859284.1,6108324644,0,16904369.71,52582602.06,1569700000,1.47e+09,6.79e+09,1.19e+09,8.26e+09,21.1085282377371,22.638716778517,20.8972191440699,22.8346904244793
43,7d,0.150801517,3.002104113,Corn,0N,Control,32,7.083013742,12100000,9.038917726,1.09e+09,7.597112479,39500000,8.893390093,7.82e+08,9.282310778,1.92e+09,0,0,23252936.06,4561008685,0,8372802.242,48795363.97,1911500000,1.83e+09,5.6e+09,1.26e+09,7.43e+09,21.3275818037997,22.4460324346875,20.9543775579098,22.7287916956761
44,8d,0.175935103,1.905955816,Corn,0N,Carbon,32,6.992899485,9840000,8.961820719,9.16e+08,7.464790879,29200000,8.784814255,6.09e+08,9.191528931,1.55e+09,0,0,13034838.66,5807142573,0,0,54759361.94,1554200000,1.53e+09,5.03e+09,1.1e+09,6.56e+09,21.1485335723508,22.3386858210581,20.8185760167507,22.6042564399024
45,9d,0.092156483,6.702163878,Corn,0N,Nitrogen,32,7.24768116,17700000,9.124620935,1.33e+09,7.799906945,63100000,8.939757524,8.7e+08,9.355244126,2.27e+09,6705982.079,0,28822203.39,7459692482,0,29797598.43,76110955.7,2263100000,2.26e+09,7.48e+09,1.65e+09,9.74e+09,21.5386306502306,22.7354986289328,21.2240411248589,22.9995069546009
46,10d,0.175935103,1.820948397,Corn,112N,Control,32,7.33949402,21900000,9.025825512,1.06e+09,7.868953751,7.4e+07,8.852108457,7.11e+08,9.266375861,1.85e+09,8771982.359,0,21031514.06,5787170881,0,12801317.36,18387534.52,1.845e+09,1.68e+09,7.43e+09,1.41e+09,9.11e+09,21.2420596303616,22.7287916956761,21.0668555413365,22.9326385482183
47,11d,0.226202276,1.194577941,Corn,112N,Carbon,32,7.211375451,16300000,9.00229803,1.01e+09,7.679247188,47800000,8.864824075,7.33e+08,9.251787409,1.79e+09,0,13629332.42,19699704.07,6110284862,0,12459279.05,20384225.22,1790800000,1.64e+09,7.87e+09,1.38e+09,9.51e+09,21.2179620787825,22.7863238993757,21.0453493361155,22.9756097135037
48,12d,0.20106869,7.655141786,Corn,112N,Nitrogen,32,7.223845223,16700000,8.929175645,8.5e+08,7.700258014,50100000,8.784251319,6.08e+08,9.178447278,1.51e+09,0,22553448.75,39687861.53,4927700802,0,13013935.85,0,1508100000,1.32e+09,5.93e+09,1.22e+09,7.25e+09,21.0008975735447,22.503290049956,20.9221166956916,22.704267305813
49,13d,0.134045793,17.56074314,Corn,336N,Control,32,6.975862824,9460000,8.587339213,3.87e+08,7.89499039,78500000,8.437389815,2.74e+08,8.868622808,7.39e+08,9546460.851,14747027.73,10001810.89,2485990106,0,11210659.42,18124334.51,739500000,6.99e+08,1.31e+09,5.99e+08,2.009e+09,20.3651613001981,20.9932929741595,20.2107721560797,21.4209029227792
50,14d,0.083778621,16.18272813,Corn,336N,Carbon,32,6.887538133,7720000,8.525882697,3.36e+08,7.76364391,5.8e+07,8.387080865,2.44e+08,8.804481732,6.38e+08,8122146.942,7011965.115,20769385.27,2990011566,0,12778297.88,46367642.14,6.38e+08,5.74e+08,1.14e+09,5.26e+08,1.714e+09,20.1681399542838,20.8542940993528,20.080811770702,21.262095657122
51,15d,0.125667931,17.45783942,Corn,336N,Nitrogen,32,6.924090345,8400000,8.472013078,2.96e+08,7.763791805,5.8e+07,8.361645888,2.3e+08,8.766782494,5.84e+08,15236917.65,0,16168156.43,2964946715,11488452.41,0,13099989.13,5.84e+08,6.56e+08,1.27e+09,4.92e+08,1.926e+09,20.3016713469084,20.9622827374169,20.0139892744566,21.3787111503223
52,16d,0.125667931,7.476178798,Corn,336N,Control,32,7.248731538,17700000,8.789466832,6.16e+08,7.912748446,81800000,8.610666919,4.08e+08,9.043615285,1.11e+09,7899124.29,14821102.76,30499908.54,4600761141,18802942.84,46207223.35,38176428.81,1105800000,1.05e+09,2.87e+09,7.63e+08,3.92e+09,20.7720560011158,21.7775778667179,20.4527685892487,22.0893574907488
53,17d,0.008377862,6.514252741,Corn,336N,Carbon,32,7.437051926,27400000,8.967361968,9.28e+08,8.139501049,1.38e+08,8.866126108,7.35e+08,9.255323106,1.8e+09,15205883.38,25451970.54,38382475.14,7300977248,26731772.42,41695812.31,52470181.06,1.801e+09,1.54e+09,4.97e+09,1.22e+09,6.51e+09,21.1550482533719,22.326685677055,20.9221166956916,22.5966052931669
