factor,level,Day,Addition,mean_n,sd,se,pe_mean_n,pe_sd,pe_se,pe_perc_diff,var
Crop,Miscanthus,5,Carbon,150.209,38.262,11.045,43.324,-4.643,-1.34,40.534,cum_CO2_flux_ug_g
Crop,Miscanthus,5,Control,106.884,42.905,12.386,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,5,Nitrogen,102.689,42.493,12.267,-4.195,-0.412,-0.119,-3.925,cum_CO2_flux_ug_g
Crop,Miscanthus,10,Carbon,286.068,77.544,22.385,62.581,-8.473,-2.446,28.002,cum_CO2_flux_ug_g
Crop,Miscanthus,10,Control,223.487,86.017,24.831,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,10,Nitrogen,209.232,85.275,24.617,-14.255,-0.742,-0.214,-6.378,cum_CO2_flux_ug_g
Crop,Miscanthus,16,Carbon,427.452,125.624,36.265,80.029,-7.373,-2.128,23.035,cum_CO2_flux_ug_g
Crop,Miscanthus,16,Control,347.423,132.997,38.393,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,16,Nitrogen,326.827,134.46,38.815,-20.595,1.463,0.422,-5.928,cum_CO2_flux_ug_g
Crop,Miscanthus,24,Carbon,664.67,226.35,65.342,103.141,-8.724,-2.518,18.368,cum_CO2_flux_ug_g
Crop,Miscanthus,24,Control,561.529,235.074,67.86,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,24,Nitrogen,520.998,234.913,67.814,-40.531,-0.16,-0.046,-7.218,cum_CO2_flux_ug_g
Crop,Miscanthus,31,Carbon,862.916,311.437,89.904,114.047,-14.262,-4.117,15.229,cum_CO2_flux_ug_g
Crop,Miscanthus,31,Control,748.869,325.699,94.021,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,31,Nitrogen,692.783,327.165,94.444,-56.085,1.466,0.423,-7.489,cum_CO2_flux_ug_g
Crop,Miscanthus,38,Carbon,1027.406,372.675,107.582,129.991,-18.912,-5.459,14.485,cum_CO2_flux_ug_g
Crop,Miscanthus,38,Control,897.415,391.587,113.041,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,38,Nitrogen,828.189,394.393,113.851,-69.227,2.805,0.81,-7.714,cum_CO2_flux_ug_g
Crop,Miscanthus,47,Carbon,1259.851,471.775,136.19,155.269,-18.457,-5.328,14.057,cum_CO2_flux_ug_g
Crop,Miscanthus,47,Control,1104.582,490.232,141.518,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,47,Nitrogen,1023.24,499.139,144.089,-81.342,8.907,2.571,-7.364,cum_CO2_flux_ug_g
Crop,Miscanthus,54,Carbon,1464.201,574.423,165.822,173.611,-16.245,-4.69,13.452,cum_CO2_flux_ug_g
Crop,Miscanthus,54,Control,1290.59,590.668,170.511,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,54,Nitrogen,1200.194,600.858,173.453,-90.396,10.19,2.942,-7.004,cum_CO2_flux_ug_g
Crop,Miscanthus,60,Carbon,1605.545,641.19,185.096,181.441,-18.125,-5.232,12.741,cum_CO2_flux_ug_g
Crop,Miscanthus,60,Control,1424.104,659.315,190.328,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,60,Nitrogen,1326.095,666.216,192.32,-98.009,6.901,1.992,-6.882,cum_CO2_flux_ug_g
Crop,Miscanthus,67,Carbon,1736.465,698.399,201.61,182.373,-23.522,-6.79,11.735,cum_CO2_flux_ug_g
Crop,Miscanthus,67,Control,1554.093,721.921,208.401,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,67,Nitrogen,1451.805,727.936,210.137,-102.287,6.015,1.736,-6.582,cum_CO2_flux_ug_g
Crop,Miscanthus,76,Carbon,1908.401,781.43,225.58,182.696,-25.6,-7.39,10.587,cum_CO2_flux_ug_g
Crop,Miscanthus,76,Control,1725.705,807.03,232.97,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,76,Nitrogen,1615.685,807.471,233.097,-110.021,0.441,0.127,-6.375,cum_CO2_flux_ug_g
Crop,Miscanthus,87,Carbon,2089.922,858.646,247.87,184.187,-31.793,-9.178,9.665,cum_CO2_flux_ug_g
Crop,Miscanthus,87,Control,1905.734,890.439,257.048,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,87,Nitrogen,1787.599,886.017,255.771,-118.135,-4.422,-1.276,-6.199,cum_CO2_flux_ug_g
Crop,Miscanthus,100,Carbon,2319.222,964.4,278.398,177.407,-31.539,-9.104,8.283,cum_CO2_flux_ug_g
Crop,Miscanthus,100,Control,2141.815,995.938,287.503,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,100,Nitrogen,2008.982,992.372,286.473,-132.834,-3.566,-1.029,-6.202,cum_CO2_flux_ug_g
Crop,Miscanthus,114,Carbon,2512.647,1058.773,305.641,156.485,-27.927,-8.062,6.642,cum_CO2_flux_ug_g
Crop,Miscanthus,114,Control,2356.163,1086.7,313.703,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,114,Nitrogen,2211.896,1081.536,312.213,-144.267,-5.164,-1.491,-6.123,cum_CO2_flux_ug_g
Crop,Miscanthus,132,Carbon,2798.261,1174.266,338.981,160.668,-40.29,-11.631,6.091,cum_CO2_flux_ug_g
Crop,Miscanthus,132,Control,2637.593,1214.556,350.612,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,132,Nitrogen,2474.511,1194.192,344.733,-163.082,-20.364,-5.879,-6.183,cum_CO2_flux_ug_g
Crop,Miscanthus,146,Carbon,3020.635,1259.949,363.716,175.026,-44.334,-12.798,6.151,cum_CO2_flux_ug_g
Crop,Miscanthus,146,Control,2845.609,1304.283,376.514,0,0,0,0,cum_CO2_flux_ug_g
Crop,Miscanthus,146,Nitrogen,2684.786,1279.16,369.262,-160.823,-25.124,-7.253,-5.652,cum_CO2_flux_ug_g
Treatment,0N,0,Carbon,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Treatment,0N,0,Control,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Treatment,0N,0,Nitrogen,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Treatment,0N,4,Carbon,-0.243,0.673,0.238,-0.208,0.582,0.206,603.24,cum_N2O_flux_ug_g
Treatment,0N,4,Control,-0.035,0.09,0.032,0,0,0,0,cum_N2O_flux_ug_g
Treatment,0N,4,Nitrogen,0.062,0.071,0.025,0.096,-0.02,-0.007,-279.579,cum_N2O_flux_ug_g
Treatment,0N,15,Carbon,-0.904,2.521,0.891,-0.785,2.179,0.771,661.994,cum_N2O_flux_ug_g
Treatment,0N,15,Control,-0.119,0.342,0.121,0,0,0,0,cum_N2O_flux_ug_g
Treatment,0N,15,Nitrogen,0.174,0.302,0.107,0.293,-0.04,-0.014,-246.743,cum_N2O_flux_ug_g
Treatment,0N,30,Carbon,-0.887,2.52,0.891,-0.818,2.14,0.757,1186.595,cum_N2O_flux_ug_g
Treatment,0N,30,Control,-0.069,0.38,0.134,0,0,0,0,cum_N2O_flux_ug_g
Treatment,0N,30,Nitrogen,0.548,1.192,0.421,0.617,0.812,0.287,-894.758,cum_N2O_flux_ug_g
Treatment,0N,59,Carbon,-0.755,2.567,0.907,-0.871,1.937,0.685,-752.138,cum_N2O_flux_ug_g
Treatment,0N,59,Control,0.116,0.629,0.223,0,0,0,0,cum_N2O_flux_ug_g
Treatment,0N,59,Nitrogen,1.54,3.27,1.156,1.425,2.641,0.934,1230.409,cum_N2O_flux_ug_g
Treatment,0N,86,Carbon,-0.54,2.697,0.954,-0.935,1.576,0.557,-236.972,cum_N2O_flux_ug_g
Treatment,0N,86,Control,0.394,1.121,0.397,0,0,0,0,cum_N2O_flux_ug_g
Treatment,0N,86,Nitrogen,2.201,4.242,1.5,1.807,3.121,1.103,458.182,cum_N2O_flux_ug_g
Treatment,0N,113,Carbon,-0.269,2.913,1.03,-1.001,1.098,0.388,-136.786,cum_N2O_flux_ug_g
Treatment,0N,113,Control,0.732,1.814,0.642,0,0,0,0,cum_N2O_flux_ug_g
Treatment,0N,113,Nitrogen,2.619,4.416,1.561,1.887,2.601,0.92,257.784,cum_N2O_flux_ug_g
Treatment,0N,144,Carbon,0.006,3.278,1.159,-1.048,0.72,0.255,-99.433,cum_N2O_flux_ug_g
Treatment,0N,144,Control,1.054,2.558,0.904,0,0,0,0,cum_N2O_flux_ug_g
Treatment,0N,144,Nitrogen,2.992,4.65,1.644,1.938,2.093,0.74,183.782,cum_N2O_flux_ug_g
Treatment,112N,0,Carbon,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Treatment,112N,0,Control,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Treatment,112N,0,Nitrogen,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Treatment,112N,4,Carbon,0.267,0.504,0.178,-0.246,-0.938,-0.332,-47.897,cum_N2O_flux_ug_g
Treatment,112N,4,Control,0.513,1.441,0.51,0,0,0,0,cum_N2O_flux_ug_g
Treatment,112N,4,Nitrogen,0.63,1.669,0.59,0.117,0.227,0.08,22.88,cum_N2O_flux_ug_g
Treatment,112N,15,Carbon,0.294,0.556,0.197,-1.569,-4.293,-1.518,-84.21,cum_N2O_flux_ug_g
Treatment,112N,15,Control,1.863,4.849,1.714,0,0,0,0,cum_N2O_flux_ug_g
Treatment,112N,15,Nitrogen,2.415,5.911,2.09,0.552,1.062,0.375,29.606,cum_N2O_flux_ug_g
Treatment,112N,30,Carbon,0.322,0.559,0.198,-2.63,-6.744,-2.384,-89.105,cum_N2O_flux_ug_g
Treatment,112N,30,Control,2.951,7.303,2.582,0,0,0,0,cum_N2O_flux_ug_g
Treatment,112N,30,Nitrogen,4.273,10.15,3.589,1.322,2.847,1.007,44.78,cum_N2O_flux_ug_g
Treatment,112N,59,Carbon,0.363,0.544,0.193,-3.266,-8.238,-2.912,-89.998,cum_N2O_flux_ug_g
Treatment,112N,59,Control,3.629,8.782,3.105,0,0,0,0,cum_N2O_flux_ug_g
Treatment,112N,59,Nitrogen,6.127,14.839,5.246,2.498,6.057,2.141,68.828,cum_N2O_flux_ug_g
Treatment,112N,86,Carbon,0.615,1.096,0.387,-3.395,-7.698,-2.722,-84.665,cum_N2O_flux_ug_g
Treatment,112N,86,Control,4.01,8.794,3.109,0,0,0,0,cum_N2O_flux_ug_g
Treatment,112N,86,Nitrogen,6.843,16.569,5.858,2.833,7.775,2.749,70.633,cum_N2O_flux_ug_g
Treatment,112N,113,Carbon,1.075,2.222,0.786,-3.549,-6.689,-2.365,-76.746,cum_N2O_flux_ug_g
Treatment,112N,113,Control,4.624,8.91,3.15,0,0,0,0,cum_N2O_flux_ug_g
Treatment,112N,113,Nitrogen,7.215,16.904,5.976,2.591,7.993,2.826,56.019,cum_N2O_flux_ug_g
Treatment,112N,144,Carbon,1.49,3.403,1.203,-3.854,-5.98,-2.114,-72.12,cum_N2O_flux_ug_g
Treatment,112N,144,Control,5.344,9.383,3.317,0,0,0,0,cum_N2O_flux_ug_g
Treatment,112N,144,Nitrogen,7.526,16.794,5.938,2.182,7.411,2.62,40.822,cum_N2O_flux_ug_g
Treatment,336N,0,Carbon,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Treatment,336N,0,Control,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Treatment,336N,0,Nitrogen,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Treatment,336N,4,Carbon,0.622,1.025,0.362,0.552,0.889,0.314,787.825,cum_N2O_flux_ug_g
Treatment,336N,4,Control,0.07,0.135,0.048,0,0,0,0,cum_N2O_flux_ug_g
Treatment,336N,4,Nitrogen,0.212,0.454,0.16,0.142,0.318,0.113,202.629,cum_N2O_flux_ug_g
Treatment,336N,15,Carbon,1.447,2.951,1.043,1.178,2.409,0.852,438.177,cum_N2O_flux_ug_g
Treatment,336N,15,Control,0.269,0.542,0.192,0,0,0,0,cum_N2O_flux_ug_g
Treatment,336N,15,Nitrogen,1.218,3.189,1.128,0.95,2.647,0.936,353.123,cum_N2O_flux_ug_g
Treatment,336N,30,Carbon,2.934,6.689,2.365,2.345,5.629,1.99,398.546,cum_N2O_flux_ug_g
Treatment,336N,30,Control,0.589,1.059,0.375,0,0,0,0,cum_N2O_flux_ug_g
Treatment,336N,30,Nitrogen,2.607,7.003,2.476,2.018,5.944,2.102,342.987,cum_N2O_flux_ug_g
Treatment,336N,59,Carbon,5.389,12.044,4.258,2.271,7.563,2.674,72.834,cum_N2O_flux_ug_g
Treatment,336N,59,Control,3.118,4.481,1.584,0,0,0,0,cum_N2O_flux_ug_g
Treatment,336N,59,Nitrogen,4.765,12.292,4.346,1.647,7.812,2.762,52.821,cum_N2O_flux_ug_g
Treatment,336N,86,Carbon,7.386,16.01,5.66,0.042,5.575,1.971,0.57,cum_N2O_flux_ug_g
Treatment,336N,86,Control,7.344,10.434,3.689,0,0,0,0,cum_N2O_flux_ug_g
Treatment,336N,86,Nitrogen,6.887,16.15,5.71,-0.458,5.715,2.021,-6.232,cum_N2O_flux_ug_g
Treatment,336N,113,Carbon,9.207,19.557,6.914,-2.78,2.537,0.897,-23.189,cum_N2O_flux_ug_g
Treatment,336N,113,Control,11.987,17.02,6.017,0,0,0,0,cum_N2O_flux_ug_g
Treatment,336N,113,Nitrogen,9.426,20.104,7.108,-2.56,3.085,1.091,-21.359,cum_N2O_flux_ug_g
Treatment,336N,144,Carbon,11.093,23.412,8.277,-5.564,-0.24,-0.085,-33.404,cum_N2O_flux_ug_g
Treatment,336N,144,Control,16.657,23.652,8.362,0,0,0,0,cum_N2O_flux_ug_g
Treatment,336N,144,Nitrogen,12.427,24.808,8.771,-4.23,1.156,0.409,-25.392,cum_N2O_flux_ug_g
Crop,Corn,0,Carbon,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Crop,Corn,0,Control,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Crop,Corn,0,Nitrogen,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Crop,Corn,4,Carbon,0.151,0.912,0.263,0.161,0.823,0.238,-1576.661,cum_N2O_flux_ug_g
Crop,Corn,4,Control,-0.01,0.088,0.026,0,0,0,0,cum_N2O_flux_ug_g
Crop,Corn,4,Nitrogen,0.073,0.078,0.023,0.083,-0.01,-0.003,-814.005,cum_N2O_flux_ug_g
Crop,Corn,15,Carbon,-0.259,2.278,0.657,-0.308,1.826,0.527,-638.504,cum_N2O_flux_ug_g
Crop,Corn,15,Control,0.048,0.452,0.131,0,0,0,0,cum_N2O_flux_ug_g
Crop,Corn,15,Nitrogen,0.286,0.684,0.197,0.238,0.232,0.067,494.487,cum_N2O_flux_ug_g
Crop,Corn,30,Carbon,-0.241,2.277,0.657,-0.486,1.423,0.411,-198.308,cum_N2O_flux_ug_g
Crop,Corn,30,Control,0.245,0.854,0.246,0,0,0,0,cum_N2O_flux_ug_g
Crop,Corn,30,Nitrogen,0.569,1.472,0.425,0.324,0.618,0.178,132.036,cum_N2O_flux_ug_g
Crop,Corn,59,Carbon,-0.192,2.283,0.659,-1.035,0.213,0.062,-122.746,cum_N2O_flux_ug_g
Crop,Corn,59,Control,0.843,2.07,0.597,0,0,0,0,cum_N2O_flux_ug_g
Crop,Corn,59,Nitrogen,0.837,1.844,0.532,-0.006,-0.226,-0.065,-0.724,cum_N2O_flux_ug_g
Crop,Corn,86,Carbon,0.057,2.485,0.717,-1.851,-2.035,-0.588,-96.991,cum_N2O_flux_ug_g
Crop,Corn,86,Control,1.908,4.52,1.305,0,0,0,0,cum_N2O_flux_ug_g
Crop,Corn,86,Nitrogen,1.247,2.069,0.597,-0.661,-2.451,-0.707,-34.63,cum_N2O_flux_ug_g
Crop,Corn,113,Carbon,0.534,3.116,0.899,-2.699,-4.225,-1.22,-83.481,cum_N2O_flux_ug_g
Crop,Corn,113,Control,3.233,7.341,2.119,0,0,0,0,cum_N2O_flux_ug_g
Crop,Corn,113,Nitrogen,1.987,2.651,0.765,-1.246,-4.689,-1.354,-38.538,cum_N2O_flux_ug_g
Crop,Corn,144,Carbon,1.022,3.965,1.145,-3.664,-6.537,-1.887,-78.19,cum_N2O_flux_ug_g
Crop,Corn,144,Control,4.685,10.503,3.032,0,0,0,0,cum_N2O_flux_ug_g
Crop,Corn,144,Nitrogen,2.807,3.684,1.064,-1.878,-6.818,-1.968,-40.083,cum_N2O_flux_ug_g
Crop,Miscanthus,0,Carbon,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Crop,Miscanthus,0,Control,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Crop,Miscanthus,0,Nitrogen,0,0,0,0,0,0,NA,cum_N2O_flux_ug_g
Crop,Miscanthus,4,Carbon,0.28,0.743,0.214,-0.096,-0.429,-0.124,-25.56,cum_N2O_flux_ug_g
Crop,Miscanthus,4,Control,0.376,1.172,0.338,0,0,0,0,cum_N2O_flux_ug_g
Crop,Miscanthus,4,Nitrogen,0.53,1.383,0.399,0.154,0.211,0.061,40.928,cum_N2O_flux_ug_g
Crop,Miscanthus,15,Carbon,0.818,2.444,0.705,-0.477,-1.528,-0.441,-36.821,cum_N2O_flux_ug_g
Crop,Miscanthus,15,Control,1.294,3.972,1.147,0,0,0,0,cum_N2O_flux_ug_g
Crop,Miscanthus,15,Nitrogen,2.252,5.293,1.528,0.958,1.321,0.381,73.998,cum_N2O_flux_ug_g
Crop,Miscanthus,30,Carbon,1.82,5.546,1.601,-0.249,-0.443,-0.128,-12.037,cum_N2O_flux_ug_g
Crop,Miscanthus,30,Control,2.069,5.989,1.729,0,0,0,0,cum_N2O_flux_ug_g
Crop,Miscanthus,30,Nitrogen,4.383,9.625,2.778,2.314,3.636,1.05,111.876,cum_N2O_flux_ug_g
Crop,Miscanthus,59,Carbon,3.523,9.977,2.88,-0.209,2.327,0.672,-5.596,cum_N2O_flux_ug_g
Crop,Miscanthus,59,Control,3.732,7.65,2.208,0,0,0,0,cum_N2O_flux_ug_g
Crop,Miscanthus,59,Nitrogen,7.451,14.963,4.319,3.719,7.314,2.111,99.655,cum_N2O_flux_ug_g
Crop,Miscanthus,86,Carbon,4.917,13.271,3.831,-1.008,2.896,0.836,-17.016,cum_N2O_flux_ug_g
Crop,Miscanthus,86,Control,5.925,10.375,2.995,0,0,0,0,cum_N2O_flux_ug_g
Crop,Miscanthus,86,Nitrogen,9.373,17.954,5.183,3.449,7.58,2.188,58.208,cum_N2O_flux_ug_g
Crop,Miscanthus,113,Carbon,6.141,16.227,4.684,-2.188,1.516,0.438,-26.268,cum_N2O_flux_ug_g
Crop,Miscanthus,113,Control,8.329,14.711,4.247,0,0,0,0,cum_N2O_flux_ug_g
Crop,Miscanthus,113,Nitrogen,10.854,20.471,5.91,2.524,5.76,1.663,30.305,cum_N2O_flux_ug_g
Crop,Miscanthus,144,Carbon,7.371,19.442,5.612,-3.314,-0.071,-0.02,-31.018,cum_N2O_flux_ug_g
Crop,Miscanthus,144,Control,10.685,19.513,5.633,0,0,0,0,cum_N2O_flux_ug_g
Crop,Miscanthus,144,Nitrogen,12.49,23.507,6.786,1.805,3.994,1.153,16.89,cum_N2O_flux_ug_g
Treatment,0N,0,Carbon,0,0,0,0,0,0,NA,net_min_rate_rel
Treatment,0N,0,Control,0,0,0,0,0,0,NA,net_min_rate_rel
Treatment,0N,0,Nitrogen,0,0,0,0,0,0,NA,net_min_rate_rel
Treatment,0N,4,Carbon,-1.171,0.873,0.309,-1.863,-3.799,-1.343,-269.296,net_min_rate_rel
Treatment,0N,4,Control,0.692,4.672,1.652,0,0,0,0,net_min_rate_rel
Treatment,0N,4,Nitrogen,2.497,2.965,1.048,1.805,-1.707,-0.604,260.917,net_min_rate_rel
Treatment,0N,15,Carbon,-0.345,0.19,0.067,0.578,-1.308,-0.463,-62.607,net_min_rate_rel
Treatment,0N,15,Control,-0.923,1.498,0.53,0,0,0,0,net_min_rate_rel
Treatment,0N,15,Nitrogen,-0.585,0.836,0.296,0.338,-0.662,-0.234,-36.591,net_min_rate_rel
Treatment,0N,30,Carbon,0.873,0.519,0.183,-0.187,-0.216,-0.077,-17.641,net_min_rate_rel
Treatment,0N,30,Control,1.06,0.735,0.26,0,0,0,0,net_min_rate_rel
Treatment,0N,30,Nitrogen,2.086,1.146,0.405,1.027,0.411,0.145,96.917,net_min_rate_rel
Treatment,0N,59,Carbon,1.246,0.708,0.25,-0.253,-0.042,-0.015,-16.891,net_min_rate_rel
Treatment,0N,59,Control,1.5,0.75,0.265,0,0,0,0,net_min_rate_rel
Treatment,0N,59,Nitrogen,1.509,0.917,0.324,0.009,0.168,0.059,0.621,net_min_rate_rel
Treatment,0N,86,Carbon,0.988,0.953,0.337,-0.232,-0.26,-0.092,-19.022,net_min_rate_rel
Treatment,0N,86,Control,1.22,1.213,0.429,0,0,0,0,net_min_rate_rel
Treatment,0N,86,Nitrogen,1.237,1.258,0.445,0.017,0.045,0.016,1.408,net_min_rate_rel
Treatment,0N,113,Carbon,2.74,2.052,0.726,-0.085,0.386,0.136,-3.019,net_min_rate_rel
Treatment,0N,113,Control,2.825,1.667,0.589,0,0,0,0,net_min_rate_rel
Treatment,0N,113,Nitrogen,1.519,3.416,1.208,-1.306,1.749,0.618,-46.241,net_min_rate_rel
Treatment,0N,144,Carbon,0.162,1.455,0.514,0.01,0.073,0.026,6.736,net_min_rate_rel
Treatment,0N,144,Control,0.152,1.382,0.489,0,0,0,0,net_min_rate_rel
Treatment,0N,144,Nitrogen,2.357,4.835,1.71,2.205,3.453,1.221,1454.562,net_min_rate_rel
Treatment,112N,0,Carbon,0,0,0,0,0,0,NA,net_min_rate_rel
Treatment,112N,0,Control,0,0,0,0,0,0,NA,net_min_rate_rel
Treatment,112N,0,Nitrogen,0,0,0,0,0,0,NA,net_min_rate_rel
Treatment,112N,4,Carbon,-5.417,6.441,2.277,-4.289,1.777,0.628,380.489,net_min_rate_rel
Treatment,112N,4,Control,-1.127,4.664,1.649,0,0,0,0,net_min_rate_rel
Treatment,112N,4,Nitrogen,2.572,3.504,1.239,3.7,-1.16,-0.41,-328.176,net_min_rate_rel
Treatment,112N,15,Carbon,-0.219,0.37,0.131,-0.039,-1.172,-0.414,21.822,net_min_rate_rel
Treatment,112N,15,Control,-0.18,1.541,0.545,0,0,0,0,net_min_rate_rel
Treatment,112N,15,Nitrogen,-1.153,2.006,0.709,-0.974,0.464,0.164,541.992,net_min_rate_rel
Treatment,112N,30,Carbon,1.157,0.914,0.323,-0.414,0.157,0.056,-26.339,net_min_rate_rel
Treatment,112N,30,Control,1.571,0.756,0.267,0,0,0,0,net_min_rate_rel
Treatment,112N,30,Nitrogen,3.029,1.839,0.65,1.458,1.083,0.383,92.835,net_min_rate_rel
Treatment,112N,59,Carbon,1.039,0.909,0.321,0.045,-0.445,-0.158,4.568,net_min_rate_rel
Treatment,112N,59,Control,0.993,1.354,0.479,0,0,0,0,net_min_rate_rel
Treatment,112N,59,Nitrogen,1.522,1.312,0.464,0.529,-0.043,-0.015,53.22,net_min_rate_rel
Treatment,112N,86,Carbon,1.255,1.259,0.445,-0.734,-0.419,-0.148,-36.895,net_min_rate_rel
Treatment,112N,86,Control,1.989,1.678,0.593,0,0,0,0,net_min_rate_rel
Treatment,112N,86,Nitrogen,1.152,1.509,0.534,-0.837,-0.169,-0.06,-42.083,net_min_rate_rel
