factor,level,Day,Addition,mean_n,sd,se,pe_mean_n,pe_sd,pe_se,pe_perc_diff,var
Treatment,112N,113,Control,5.944,3.596,1.272,0,0,0,0,net_nitr_rate_abs
Treatment,112N,113,Nitrogen,6.899,2.908,1.028,0.955,-0.689,-0.243,16.065,net_nitr_rate_abs
Treatment,112N,144,Carbon,4.325,3.426,1.211,-0.546,-0.096,-0.034,-11.216,net_nitr_rate_abs
Treatment,112N,144,Control,4.872,3.522,1.245,0,0,0,0,net_nitr_rate_abs
Treatment,112N,144,Nitrogen,5.411,3.385,1.197,0.54,-0.137,-0.049,11.079,net_nitr_rate_abs
Treatment,336N,0,Carbon,0,0,0,0,0,0,NA,net_nitr_rate_abs
Treatment,336N,0,Control,0,0,0,0,0,0,NA,net_nitr_rate_abs
Treatment,336N,0,Nitrogen,0,0,0,0,0,0,NA,net_nitr_rate_abs
Treatment,336N,4,Carbon,-3.487,4.653,1.645,-5.116,0.557,0.197,-313.998,net_nitr_rate_abs
Treatment,336N,4,Control,1.629,4.096,1.448,0,0,0,0,net_nitr_rate_abs
Treatment,336N,4,Nitrogen,2.268,7.278,2.573,0.638,3.182,1.125,39.168,net_nitr_rate_abs
Treatment,336N,15,Carbon,-1.671,0.983,0.347,-2.089,-2.568,-0.908,-500.576,net_nitr_rate_abs
Treatment,336N,15,Control,0.417,3.55,1.255,0,0,0,0,net_nitr_rate_abs
Treatment,336N,15,Nitrogen,-0.549,2.401,0.849,-0.966,-1.149,-0.406,-231.569,net_nitr_rate_abs
Treatment,336N,30,Carbon,0.64,2.038,0.721,-1.75,0.405,0.143,-73.23,net_nitr_rate_abs
Treatment,336N,30,Control,2.39,1.633,0.577,0,0,0,0,net_nitr_rate_abs
Treatment,336N,30,Nitrogen,3.161,0.911,0.322,0.771,-0.722,-0.255,32.264,net_nitr_rate_abs
Treatment,336N,59,Carbon,1.682,0.943,0.333,-0.134,-0.199,-0.07,-7.384,net_nitr_rate_abs
Treatment,336N,59,Control,1.816,1.142,0.404,0,0,0,0,net_nitr_rate_abs
Treatment,336N,59,Nitrogen,2.225,1.067,0.377,0.409,-0.075,-0.027,22.554,net_nitr_rate_abs
Treatment,336N,86,Carbon,3.51,1.82,0.644,-0.15,-0.531,-0.188,-4.105,net_nitr_rate_abs
Treatment,336N,86,Control,3.661,2.351,0.831,0,0,0,0,net_nitr_rate_abs
Treatment,336N,86,Nitrogen,3.65,1.512,0.535,-0.011,-0.839,-0.297,-0.287,net_nitr_rate_abs
Treatment,336N,113,Carbon,6.102,2.769,0.979,-0.293,-0.729,-0.258,-4.579,net_nitr_rate_abs
Treatment,336N,113,Control,6.395,3.497,1.236,0,0,0,0,net_nitr_rate_abs
Treatment,336N,113,Nitrogen,6.452,2.255,0.797,0.058,-1.243,-0.439,0.903,net_nitr_rate_abs
Treatment,336N,144,Carbon,4.197,3.338,1.18,-0.609,0.462,0.163,-12.673,net_nitr_rate_abs
Treatment,336N,144,Control,4.806,2.877,1.017,0,0,0,0,net_nitr_rate_abs
Treatment,336N,144,Nitrogen,5.018,2.356,0.833,0.212,-0.521,-0.184,4.413,net_nitr_rate_abs
Crop,Corn,0,Carbon,0,0,0,0,0,0,NA,net_min_rate_rel
Crop,Corn,0,Control,0,0,0,0,0,0,NA,net_min_rate_rel
Crop,Corn,0,Nitrogen,0,0,0,0,0,0,NA,net_min_rate_rel
Crop,Corn,4,Carbon,-1.368,2.854,0.824,-3.006,-1.416,-0.409,-183.474,net_min_rate_rel
Crop,Corn,4,Control,1.638,4.27,1.233,0,0,0,0,net_min_rate_rel
Crop,Corn,4,Nitrogen,3.917,4.691,1.354,2.279,0.42,0.121,139.081,net_min_rate_rel
Crop,Corn,15,Carbon,-0.673,1.175,0.339,-0.129,-0.753,-0.217,23.642,net_min_rate_rel
Crop,Corn,15,Control,-0.544,1.928,0.556,0,0,0,0,net_min_rate_rel
Crop,Corn,15,Nitrogen,-1.372,2.246,0.648,-0.828,0.319,0.092,152.129,net_min_rate_rel
Crop,Corn,30,Carbon,1.369,1.598,0.461,0.101,0.686,0.198,7.977,net_min_rate_rel
Crop,Corn,30,Control,1.268,0.913,0.263,0,0,0,0,net_min_rate_rel
Crop,Corn,30,Nitrogen,2.5,1.045,0.302,1.232,0.132,0.038,97.137,net_min_rate_rel
Crop,Corn,59,Carbon,1.033,0.606,0.175,0.173,-0.399,-0.115,20.121,net_min_rate_rel
Crop,Corn,59,Control,0.86,1.005,0.29,0,0,0,0,net_min_rate_rel
Crop,Corn,59,Nitrogen,1.323,0.908,0.262,0.463,-0.097,-0.028,53.797,net_min_rate_rel
Crop,Corn,86,Carbon,1.463,0.982,0.283,-0.828,-0.431,-0.124,-36.137,net_min_rate_rel
Crop,Corn,86,Control,2.291,1.413,0.408,0,0,0,0,net_min_rate_rel
Crop,Corn,86,Nitrogen,1.881,1.243,0.359,-0.41,-0.17,-0.049,-17.894,net_min_rate_rel
Crop,Corn,113,Carbon,3.895,1.738,0.502,0.397,0.273,0.079,11.357,net_min_rate_rel
Crop,Corn,113,Control,3.498,1.464,0.423,0,0,0,0,net_min_rate_rel
Crop,Corn,113,Nitrogen,2.537,2.847,0.822,-0.961,1.382,0.399,-27.475,net_min_rate_rel
Crop,Corn,144,Carbon,-0.932,0.779,0.225,-0.068,-0.054,-0.016,7.844,net_min_rate_rel
Crop,Corn,144,Control,-0.865,0.833,0.241,0,0,0,0,net_min_rate_rel
Crop,Corn,144,Nitrogen,-0.334,2.755,0.795,0.531,1.922,0.555,-61.412,net_min_rate_rel
Crop,Miscanthus,0,Carbon,0,0,0,0,0,0,NA,net_min_rate_rel
Crop,Miscanthus,0,Control,0,0,0,0,0,0,NA,net_min_rate_rel
Crop,Miscanthus,0,Nitrogen,0,0,0,0,0,0,NA,net_min_rate_rel
Crop,Miscanthus,4,Carbon,-5.578,5.208,1.504,-4.116,1.325,0.383,281.554,net_min_rate_rel
Crop,Miscanthus,4,Control,-1.462,3.883,1.121,0,0,0,0,net_min_rate_rel
Crop,Miscanthus,4,Nitrogen,0.576,4.897,1.414,2.038,1.014,0.293,-139.383,net_min_rate_rel
Crop,Miscanthus,15,Carbon,-0.313,0.723,0.209,0.248,-0.853,-0.246,-44.202,net_min_rate_rel
Crop,Miscanthus,15,Control,-0.561,1.577,0.455,0,0,0,0,net_min_rate_rel
Crop,Miscanthus,15,Nitrogen,-1.018,1.864,0.538,-0.456,0.287,0.083,81.283,net_min_rate_rel
Crop,Miscanthus,30,Carbon,1.202,1.145,0.331,-0.682,-0.229,-0.066,-36.195,net_min_rate_rel
Crop,Miscanthus,30,Control,1.884,1.374,0.397,0,0,0,0,net_min_rate_rel
Crop,Miscanthus,30,Nitrogen,3.226,2.117,0.611,1.342,0.743,0.214,71.246,net_min_rate_rel
Crop,Miscanthus,59,Carbon,1.371,0.856,0.247,0.209,-0.316,-0.091,18.027,net_min_rate_rel
Crop,Miscanthus,59,Control,1.162,1.172,0.338,0,0,0,0,net_min_rate_rel
Crop,Miscanthus,59,Nitrogen,1.064,1.364,0.394,-0.098,0.191,0.055,-8.401,net_min_rate_rel
Crop,Miscanthus,86,Carbon,1.204,1.254,0.362,0.188,-0.188,-0.054,18.539,net_min_rate_rel
Crop,Miscanthus,86,Control,1.016,1.443,0.416,0,0,0,0,net_min_rate_rel
Crop,Miscanthus,86,Nitrogen,0.575,1.505,0.434,-0.441,0.062,0.018,-43.379,net_min_rate_rel
Crop,Miscanthus,113,Carbon,1.489,1.35,0.39,-0.185,-0.148,-0.043,-11.049,net_min_rate_rel
Crop,Miscanthus,113,Control,1.674,1.499,0.433,0,0,0,0,net_min_rate_rel
Crop,Miscanthus,113,Nitrogen,1.893,1.481,0.427,0.219,-0.018,-0.005,13.078,net_min_rate_rel
Crop,Miscanthus,144,Carbon,0.351,1.811,0.523,-0.001,0.244,0.07,-0.329,net_min_rate_rel
Crop,Miscanthus,144,Control,0.352,1.567,0.452,0,0,0,0,net_min_rate_rel
Crop,Miscanthus,144,Nitrogen,1.198,3.855,1.113,0.846,2.288,0.66,240.433,net_min_rate_rel
Crop,Corn,0,Carbon,0,0,0,0,0,0,NA,net_min_rate_abs
Crop,Corn,0,Control,0,0,0,0,0,0,NA,net_min_rate_abs
Crop,Corn,0,Nitrogen,0,0,0,0,0,0,NA,net_min_rate_abs
Crop,Corn,4,Carbon,-1.368,2.854,0.824,-3.006,-1.416,-0.409,-183.474,net_min_rate_abs
Crop,Corn,4,Control,1.638,4.27,1.233,0,0,0,0,net_min_rate_abs
Crop,Corn,4,Nitrogen,3.917,4.691,1.354,2.279,0.42,0.121,139.081,net_min_rate_abs
Crop,Corn,15,Carbon,-1.17,1.133,0.327,-1.222,-1.143,-0.33,-2367.902,net_min_rate_abs
Crop,Corn,15,Control,0.052,2.276,0.657,0,0,0,0,net_min_rate_abs
Crop,Corn,15,Nitrogen,0.052,1.212,0.35,0.001,-1.064,-0.307,1.469,net_min_rate_abs
Crop,Corn,30,Carbon,0.511,1.065,0.307,-0.795,-0.072,-0.021,-60.847,net_min_rate_abs
Crop,Corn,30,Control,1.306,1.137,0.328,0,0,0,0,net_min_rate_abs
Crop,Corn,30,Nitrogen,2.539,0.596,0.172,1.233,-0.54,-0.156,94.366,net_min_rate_abs
Crop,Corn,59,Carbon,1.298,0.698,0.202,-0.238,-0.291,-0.084,-15.5,net_min_rate_abs
Crop,Corn,59,Control,1.536,0.989,0.285,0,0,0,0,net_min_rate_abs
Crop,Corn,59,Nitrogen,2.636,0.908,0.262,1.1,-0.081,-0.023,71.645,net_min_rate_abs
Crop,Corn,86,Carbon,2.857,1.025,0.296,-1.084,-0.418,-0.121,-27.499,net_min_rate_abs
Crop,Corn,86,Control,3.94,1.444,0.417,0,0,0,0,net_min_rate_abs
Crop,Corn,86,Nitrogen,4.712,1.683,0.486,0.772,0.24,0.069,19.586,net_min_rate_abs
Crop,Corn,113,Carbon,6.752,2.462,0.711,-0.686,-0.08,-0.023,-9.228,net_min_rate_abs
Crop,Corn,113,Control,7.438,2.542,0.734,0,0,0,0,net_min_rate_abs
Crop,Corn,113,Nitrogen,7.249,3.299,0.952,-0.189,0.757,0.218,-2.544,net_min_rate_abs
Crop,Corn,144,Carbon,4.948,1.976,0.57,-0.666,-0.361,-0.104,-11.857,net_min_rate_abs
Crop,Corn,144,Control,5.614,2.337,0.675,0,0,0,0,net_min_rate_abs
Crop,Corn,144,Nitrogen,5.98,2.08,0.6,0.366,-0.257,-0.074,6.522,net_min_rate_abs
Crop,Miscanthus,0,Carbon,0,0,0,0,0,0,NA,net_min_rate_abs
Crop,Miscanthus,0,Control,0,0,0,0,0,0,NA,net_min_rate_abs
Crop,Miscanthus,0,Nitrogen,0,0,0,0,0,0,NA,net_min_rate_abs
Crop,Miscanthus,4,Carbon,-5.578,5.208,1.504,-4.116,1.325,0.383,281.554,net_min_rate_abs
Crop,Miscanthus,4,Control,-1.462,3.883,1.121,0,0,0,0,net_min_rate_abs
Crop,Miscanthus,4,Nitrogen,0.576,4.897,1.414,2.038,1.014,0.293,-139.383,net_min_rate_abs
Crop,Miscanthus,15,Carbon,-2.342,1.714,0.495,-1.249,0.678,0.196,114.252,net_min_rate_abs
Crop,Miscanthus,15,Control,-1.093,1.036,0.299,0,0,0,0,net_min_rate_abs
Crop,Miscanthus,15,Nitrogen,-0.808,2.705,0.781,0.285,1.669,0.482,-26.053,net_min_rate_abs
Crop,Miscanthus,30,Carbon,-0.515,1.186,0.342,-1.598,0.206,0.059,-147.591,net_min_rate_abs
Crop,Miscanthus,30,Control,1.082,0.981,0.283,0,0,0,0,net_min_rate_abs
Crop,Miscanthus,30,Nitrogen,2.633,1.508,0.435,1.551,0.527,0.152,143.289,net_min_rate_abs
Crop,Miscanthus,59,Carbon,1.105,1.106,0.319,-0.617,-0.306,-0.088,-35.828,net_min_rate_abs
Crop,Miscanthus,59,Control,1.722,1.412,0.408,0,0,0,0,net_min_rate_abs
Crop,Miscanthus,59,Nitrogen,2.426,1.718,0.496,0.705,0.306,0.088,40.925,net_min_rate_abs
Crop,Miscanthus,86,Carbon,2.391,2.191,0.632,-0.474,-0.132,-0.038,-16.549,net_min_rate_abs
Crop,Miscanthus,86,Control,2.865,2.323,0.67,0,0,0,0,net_min_rate_abs
Crop,Miscanthus,86,Nitrogen,3.181,2.171,0.627,0.316,-0.152,-0.044,11.03,net_min_rate_abs
Crop,Miscanthus,113,Carbon,3.88,3.037,0.877,-0.659,-0.307,-0.089,-14.521,net_min_rate_abs
Crop,Miscanthus,113,Control,4.539,3.344,0.965,0,0,0,0,net_min_rate_abs
Crop,Miscanthus,113,Nitrogen,5.074,2.673,0.772,0.535,-0.67,-0.194,11.785,net_min_rate_abs
Crop,Miscanthus,144,Carbon,3.73,3.487,1.007,-0.575,0.197,0.057,-13.361,net_min_rate_abs
Crop,Miscanthus,144,Control,4.305,3.29,0.95,0,0,0,0,net_min_rate_abs
Crop,Miscanthus,144,Nitrogen,5.617,5.066,1.462,1.312,1.775,0.513,30.47,net_min_rate_abs
Crop,Corn,0,Carbon,0,0,0,0,0,0,NA,net_nitr_rate_rel
Crop,Corn,0,Control,0,0,0,0,0,0,NA,net_nitr_rate_rel
Crop,Corn,0,Nitrogen,0,0,0,0,0,0,NA,net_nitr_rate_rel
Crop,Corn,4,Carbon,-1.197,3.162,0.913,-2.023,-0.025,-0.007,-244.998,net_nitr_rate_rel
Crop,Corn,4,Control,0.826,3.188,0.92,0,0,0,0,net_nitr_rate_rel
Crop,Corn,4,Nitrogen,4.182,4.196,1.211,3.357,1.009,0.291,406.597,net_nitr_rate_rel
Crop,Corn,15,Carbon,-0.28,1.061,0.306,-0.557,-0.485,-0.14,-201.153,net_nitr_rate_rel
Crop,Corn,15,Control,0.277,1.546,0.446,0,0,0,0,net_nitr_rate_rel
Crop,Corn,15,Nitrogen,-0.896,1.989,0.574,-1.173,0.443,0.128,-423.631,net_nitr_rate_rel
Crop,Corn,30,Carbon,1.369,1.638,0.473,0.181,0.804,0.232,15.235,net_nitr_rate_rel
Crop,Corn,30,Control,1.188,0.835,0.241,0,0,0,0,net_nitr_rate_rel
Crop,Corn,30,Nitrogen,2.512,1.086,0.313,1.324,0.251,0.073,111.455,net_nitr_rate_rel
Crop,Corn,59,Carbon,1.057,0.619,0.179,0.115,-0.381,-0.11,12.233,net_nitr_rate_rel
Crop,Corn,59,Control,0.942,1,0.289,0,0,0,0,net_nitr_rate_rel
Crop,Corn,59,Nitrogen,1.369,0.849,0.245,0.427,-0.15,-0.043,45.318,net_nitr_rate_rel
Crop,Corn,86,Carbon,1.383,0.942,0.272,-0.831,-0.442,-0.128,-37.539,net_nitr_rate_rel
Crop,Corn,86,Control,2.214,1.385,0.4,0,0,0,0,net_nitr_rate_rel
Crop,Corn,86,Nitrogen,1.826,1.244,0.359,-0.388,-0.141,-0.041,-17.53,net_nitr_rate_rel
Crop,Corn,113,Carbon,3.874,1.744,0.503,0.428,0.154,0.044,12.435,net_nitr_rate_rel
Crop,Corn,113,Control,3.446,1.59,0.459,0,0,0,0,net_nitr_rate_rel
Crop,Corn,113,Nitrogen,2.485,2.912,0.841,-0.961,1.321,0.381,-27.89,net_nitr_rate_rel
Crop,Corn,144,Carbon,-0.965,0.817,0.236,-0.018,-0.035,-0.01,1.857,net_nitr_rate_rel
Crop,Corn,144,Control,-0.947,0.851,0.246,0,0,0,0,net_nitr_rate_rel
Crop,Corn,144,Nitrogen,-0.393,2.803,0.809,0.554,1.951,0.563,-58.468,net_nitr_rate_rel
Crop,Miscanthus,0,Carbon,0,0,0,0,0,0,NA,net_nitr_rate_rel
Crop,Miscanthus,0,Control,0,0,0,0,0,0,NA,net_nitr_rate_rel
Crop,Miscanthus,0,Nitrogen,0,0,0,0,0,0,NA,net_nitr_rate_rel
Crop,Miscanthus,4,Carbon,-4.688,5.042,1.456,-4.335,1.416,0.409,1227.289,net_nitr_rate_rel
Crop,Miscanthus,4,Control,-0.353,3.627,1.047,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,4,Nitrogen,1.947,4.936,1.425,2.3,1.31,0.378,-651.141,net_nitr_rate_rel
Crop,Miscanthus,15,Carbon,0.098,0.638,0.184,0.328,-0.89,-0.257,-142.383,net_nitr_rate_rel
Crop,Miscanthus,15,Control,-0.231,1.528,0.441,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,15,Nitrogen,-0.617,1.841,0.532,-0.386,0.313,0.09,167.435,net_nitr_rate_rel
Crop,Miscanthus,30,Carbon,1.188,1.199,0.346,-0.727,-0.25,-0.072,-37.962,net_nitr_rate_rel
Crop,Miscanthus,30,Control,1.915,1.449,0.418,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,30,Nitrogen,3.251,2.104,0.607,1.336,0.655,0.189,69.765,net_nitr_rate_rel
Crop,Miscanthus,59,Carbon,1.323,0.901,0.26,0.229,-0.284,-0.082,20.944,net_nitr_rate_rel
Crop,Miscanthus,59,Control,1.094,1.186,0.342,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,59,Nitrogen,1.01,1.349,0.389,-0.084,0.163,0.047,-7.678,net_nitr_rate_rel
Crop,Miscanthus,86,Carbon,1.179,1.26,0.364,0.173,-0.208,-0.06,17.189,net_nitr_rate_rel
Crop,Miscanthus,86,Control,1.006,1.468,0.424,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,86,Nitrogen,0.589,1.503,0.434,-0.417,0.035,0.01,-41.465,net_nitr_rate_rel
Crop,Miscanthus,113,Carbon,1.485,1.362,0.393,-0.167,-0.14,-0.04,-10.088,net_nitr_rate_rel
Crop,Miscanthus,113,Control,1.651,1.502,0.433,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,113,Nitrogen,1.871,1.5,0.433,0.219,-0.001,0,13.29,net_nitr_rate_rel
Crop,Miscanthus,144,Carbon,0.319,1.851,0.534,-0.001,0.227,0.065,-0.157,net_nitr_rate_rel
Crop,Miscanthus,144,Control,0.319,1.624,0.469,0,0,0,0,net_nitr_rate_rel
Crop,Miscanthus,144,Nitrogen,1.167,3.87,1.117,0.848,2.246,0.648,265.485,net_nitr_rate_rel
Crop,Corn,0,Carbon,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Corn,0,Control,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Corn,0,Nitrogen,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Corn,4,Carbon,-1.197,3.162,0.913,-2.023,-0.025,-0.007,-244.998,net_nitr_rate_abs
Crop,Corn,4,Control,0.826,3.188,0.92,0,0,0,0,net_nitr_rate_abs
Crop,Corn,4,Nitrogen,4.182,4.196,1.211,3.357,1.009,0.291,406.597,net_nitr_rate_abs
Crop,Corn,15,Carbon,-0.715,1.005,0.29,-1.292,-1.594,-0.46,-223.965,net_nitr_rate_abs
Crop,Corn,15,Control,0.577,2.599,0.75,0,0,0,0,net_nitr_rate_abs
Crop,Corn,15,Nitrogen,0.625,1.072,0.31,0.048,-1.527,-0.441,8.33,net_nitr_rate_abs
Crop,Corn,30,Carbon,0.844,1.324,0.382,-0.767,-0.135,-0.039,-47.59,net_nitr_rate_abs
Crop,Corn,30,Control,1.611,1.459,0.421,0,0,0,0,net_nitr_rate_abs
Crop,Corn,30,Nitrogen,2.97,0.698,0.202,1.359,-0.761,-0.22,84.37,net_nitr_rate_abs
Crop,Corn,59,Carbon,1.494,0.829,0.239,-0.281,-0.213,-0.062,-15.845,net_nitr_rate_abs
Crop,Corn,59,Control,1.775,1.042,0.301,0,0,0,0,net_nitr_rate_abs
Crop,Corn,59,Nitrogen,2.905,0.799,0.231,1.13,-0.244,-0.07,63.647,net_nitr_rate_abs
Crop,Corn,86,Carbon,2.988,1.183,0.342,-1.133,-0.278,-0.08,-27.501,net_nitr_rate_abs
Crop,Corn,86,Control,4.121,1.461,0.422,0,0,0,0,net_nitr_rate_abs
Crop,Corn,86,Nitrogen,4.947,1.569,0.453,0.826,0.108,0.031,20.032,net_nitr_rate_abs
Crop,Corn,113,Carbon,6.862,2.553,0.737,-0.705,-0.142,-0.041,-9.315,net_nitr_rate_abs
Crop,Corn,113,Control,7.567,2.694,0.778,0,0,0,0,net_nitr_rate_abs
Crop,Corn,113,Nitrogen,7.431,3.252,0.939,-0.136,0.557,0.161,-1.791,net_nitr_rate_abs
Crop,Corn,144,Carbon,5.012,1.947,0.562,-0.631,-0.362,-0.104,-11.19,net_nitr_rate_abs
Crop,Corn,144,Control,5.643,2.309,0.667,0,0,0,0,net_nitr_rate_abs
Crop,Corn,144,Nitrogen,6.079,1.967,0.568,0.436,-0.342,-0.099,7.724,net_nitr_rate_abs
Crop,Miscanthus,0,Carbon,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Miscanthus,0,Control,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Miscanthus,0,Nitrogen,0,0,0,0,0,0,NA,net_nitr_rate_abs
Crop,Miscanthus,4,Carbon,-4.688,5.042,1.456,-4.335,1.416,0.409,1227.289,net_nitr_rate_abs
Crop,Miscanthus,4,Control,-0.353,3.627,1.047,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,4,Nitrogen,1.947,4.936,1.425,2.3,1.31,0.378,-651.141,net_nitr_rate_abs
Crop,Miscanthus,15,Carbon,-1.607,1.629,0.47,-1.248,0.615,0.178,347.569,net_nitr_rate_abs
Crop,Miscanthus,15,Control,-0.359,1.014,0.293,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,15,Nitrogen,0.091,2.708,0.782,0.45,1.693,0.489,-125.381,net_nitr_rate_abs
Crop,Miscanthus,30,Carbon,0.009,1.244,0.359,-1.642,0.198,0.057,-99.433,net_nitr_rate_abs
Crop,Miscanthus,30,Control,1.651,1.046,0.302,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,30,Nitrogen,3.317,1.497,0.432,1.666,0.452,0.13,100.88,net_nitr_rate_abs
Crop,Miscanthus,59,Carbon,1.328,1.207,0.349,-0.62,-0.259,-0.075,-31.839,net_nitr_rate_abs
Crop,Miscanthus,59,Control,1.948,1.466,0.423,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,59,Nitrogen,2.726,1.724,0.498,0.778,0.257,0.074,39.923,net_nitr_rate_abs
Crop,Miscanthus,86,Carbon,2.606,2.315,0.668,-0.493,-0.088,-0.025,-15.917,net_nitr_rate_abs
Crop,Miscanthus,86,Control,3.099,2.403,0.694,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,86,Nitrogen,3.517,2.16,0.624,0.418,-0.242,-0.07,13.491,net_nitr_rate_abs
Crop,Miscanthus,113,Carbon,4.09,3.218,0.929,-0.66,-0.212,-0.061,-13.89,net_nitr_rate_abs
Crop,Miscanthus,113,Control,4.75,3.43,0.99,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,113,Nitrogen,5.388,2.68,0.774,0.638,-0.75,-0.217,13.421,net_nitr_rate_abs
Crop,Miscanthus,144,Carbon,3.881,3.617,1.044,-0.575,0.228,0.066,-12.907,net_nitr_rate_abs
Crop,Miscanthus,144,Control,4.457,3.389,0.978,0,0,0,0,net_nitr_rate_abs
Crop,Miscanthus,144,Nitrogen,5.86,5.097,1.471,1.403,1.708,0.493,31.479,net_nitr_rate_abs
